gvkey,fyear,tic,current_ratio,debt_to_equity,debt_ratio,interest_coverage,roa,roe,asset_turnover,market_to_book,cash_flow_to_liabilities,label
31427,1998,NA.1,0.88037,1.86152,0.65054,2.78378,-0.00639,-0.01828,0.7556,2.82328,0.08988,0
25283,1998,KSS,2.4707,0.66506,0.39942,14.7719,0.09931,0.16535,1.90164,9.22898,0.29831,0
9155,1998,RADCQ,1.03031,2.52035,0.71432,3.3202,0.01379,0.04865,1.22167,3.62606,0.01274,0
25279,1998,BSX,0.78203,3.74064,0.78906,6.85318,-0.06791,-0.32195,0.57378,12.87131,0.08415,0
3532,1998,GLW,1.21922,1.82459,0.55142,5.76715,0.07909,0.26169,0.70905,6.91917,0.16949,0
11609,1998,WWY,3.85669,0.31445,0.23922,670.65691,0.20022,0.26317,1.31815,8.9814,0.89012,0
2751,1998,CAH,1.75078,1.43729,0.58971,20.58005,0.06238,0.15203,4.01864,6.38253,0.06125,0
29028,1998,COST,1.19631,1.07504,0.50935,15.41351,0.07346,0.15504,3.87709,3.45269,0.23134,0
2111,1998,BDX,1.4129,1.40451,0.58039,6.96312,0.06151,0.14885,0.81041,6.41313,0.22433,0
5020,1998,DNA.2,4.26311,0.21826,0.17915,22.30389,0.06371,0.07761,0.37199,4.32173,0.68389,0
7163,1998,SPGI,1.10632,1.44113,0.59035,11.8347,0.08794,0.21468,0.98443,6.47018,0.33764,0
1573,1998,ASC.1,1.17907,2.29183,0.69622,3.63414,0.02631,0.0866,2.23591,3.71572,0.10145,0
9611,1998,SCI,1.91819,3.206,0.76224,3.68212,0.02579,0.10848,0.21672,3.12794,0.0326,1
3121,1998,CLX,0.65196,1.79201,0.64184,7.24348,0.09834,0.27456,0.90846,9.06091,0.16077,0
61445,1998,IBI.1,1.68555,1.3788,0.57962,22.32443,0.27222,0.64756,2.68339,16.10739,0.60723,0
4066,1998,OMC,0.83006,5.27663,0.82964,8.04825,0.04125,0.26238,0.59219,9.00017,0.08222,0
9846,1998,EIX,0.72989,3.73553,0.77126,2.18605,0.02858,0.13844,0.40563,1.91629,0.07673,1
10553,1998,COMS.,2.8533,0.40465,0.28773,138.81816,0.08984,0.12635,1.28402,3.05569,0.89765,0
7085,1998,MAS,2.20017,0.89379,0.47196,7.98147,0.09212,0.17445,0.84086,3.57539,0.17184,0
8446,1998,CPPRQ,1.86348,2.46026,0.69672,2.28959,0.02513,0.08874,1.32752,1.45653,0.06424,0
12681,1998,FMY.1,1.08571,3.3861,0.77201,2.18854,-0.01604,-0.07033,1.46571,4.20653,0.09288,0
3851,1998,DAL,0.73454,2.58638,0.71252,9.10215,0.06855,0.24882,0.96816,2.41681,0.28025,0
114524,1998,EBAY,10.37385,0.09519,0.08691,161.82051,0.02593,0.0284,0.51201,114.99836,0.7849,0
9113,1998,NGH.2,0.94493,2.57728,0.69659,2.73977,-0.01997,-0.07389,0.58968,1.23558,0.06444,1
116245,1998,PCS.1,0.32008,3.24419,0.75192,-3.87407,-0.07404,-0.31943,0.08095,2.74044,-0.01396,0
1045,1998,AAL,0.86451,2.3298,0.69968,6.28495,0.05892,0.19618,0.86109,1.43031,0.20474,0
11672,1998,TJX,1.33383,1.25112,0.55578,418.56346,0.15436,0.34748,2.89285,7.80178,0.42088,0
5693,1998,HON.Z,1.47666,1.57419,0.61153,8.40619,0.07977,0.20535,1.17521,3.41563,0.17772,0
5742,1998,CNP,0.41002,3.43604,0.77418,2.72026,-0.00737,-0.03272,0.60028,2.20213,0.09623,1
2184,1998,BBY,1.46968,1.44851,0.59159,18.10526,0.08543,0.20918,3.97557,9.13295,0.44231,0
8539,1998,EXC,0.32802,2.86551,0.72714,3.54962,0.04256,0.1677,0.43246,3.06821,0.16356,1
7017,1998,MRO,1.14023,1.9615,0.58155,1.89389,0.02131,0.07189,1.24759,2.15499,0.16919,0
14624,1998,ODP,1.81609,1.02725,0.50672,23.15772,0.0567,0.11494,2.18761,4.51294,0.31669,0
65068,1998,3ATHMQ,10.07646,0.58065,0.36735,-49.02,-0.1847,-0.29194,0.06155,18.53341,-0.10535,0
4029,1998,D,0.64949,2.10711,0.63945,1.78301,0.03262,0.10749,0.34745,1.71051,0.10774,1
8810,1998,PEG,0.6729,2.49686,0.70728,2.90942,0.03628,0.12809,0.32955,1.7783,0.11171,1
1440,1998,AEP,0.79156,2.98812,0.74258,3.01777,0.02808,0.113,0.32571,1.86447,0.07116,1
2574,1998,CSX,0.76308,2.47398,0.71215,2.2332,0.02629,0.09133,0.48455,1.53239,0.06874,0
5597,1998,HSY,1.39167,2.26595,0.69381,7.04713,0.10014,0.32705,1.30302,8.54068,0.165,0
2504,1998,UIS,1.09069,41.86289,0.72802,4.7187,0.06938,3.98969,1.29236,91.09855,0.16007,0
6226,1998,FJ,1.20974,6.40156,0.86375,3.89243,0.06386,0.47327,0.93696,8.38881,0.1374,0
3336,1998,DXC,1.2823,1.08667,0.52077,11.2435,0.06813,0.14216,1.52963,3.65961,0.31216,0
28701,1998,RAL.,0.96555,3.87173,0.75953,3.74882,0.19916,1.01524,0.83818,8.02913,0.11552,0
4611,1998,M,1.94654,1.35838,0.57598,4.73941,0.04917,0.11596,1.20157,1.52705,0.21792,0
6307,1998,SHLDQ,2.12138,1.36929,0.57793,3.23615,0.03657,0.08664,2.3771,1.44918,0.15109,0
10247,1998,SYY,1.64634,1.78613,0.64108,9.76532,0.07851,0.21873,4.0547,6.32715,0.14763,0
24216,1998,AES,0.63462,4.60145,0.7657,1.29965,0.02885,0.17336,0.22243,4.76391,0.06396,1
3255,1998,UCM.2,1.27143,4.01292,0.79603,2.70261,0.02206,0.1112,0.27818,1.64169,0.06365,1
61567,1998,EL,1.73704,2.09133,0.57959,64.93651,0.09424,0.34003,1.43983,11.83887,0.17729,0
8596,1998,PHB.1,3.01159,0.37129,0.26966,27.61538,0.15725,0.21652,1.06872,6.50444,0.51836,0
4058,1998,DOV,1.31804,0.89822,0.47319,8.75712,0.10444,0.19826,1.0966,4.22444,0.27788,0
8852,1998,OAT.,1.10495,15.48079,0.9312,8.27222,0.11333,1.88411,1.92905,53.32264,0.21967,0
5234,1998,GT,1.3823,1.75784,0.62181,5.42937,0.06443,0.18215,1.19236,2.0998,0.06669,0
10726,1998,TRCO,1.14128,1.61221,0.60297,7.93987,0.06979,0.18662,0.50221,3.53804,0.15252,0
5959,1998,TT,1.31307,2.01972,0.65809,4.54482,0.06127,0.18803,0.99783,2.86884,0.1644,0
6733,1998,BBWI,1.85762,0.83014,0.40749,10.17749,0.45138,0.91956,2.0544,3.46246,0.308,0
8099,1998,FE,0.48884,2.87233,0.70747,2.51294,0.02639,0.10714,0.32448,1.73506,0.0904,1
7366,1998,ETR,1.87466,2.12254,0.66023,1.79284,0.03438,0.11054,0.5031,1.08006,0.11131,1
65417,1998,YUM,0.4243,-4.89596,1.25668,2.54296,0.09821,-0.38263,1.8689,-6.59426,0.11837,0
7750,1998,THC,1.95945,2.5584,0.71897,2.57822,0.01808,0.06434,0.79007,1.96901,0.05878,0
11535,1998,WINN.1,1.15166,1.24177,0.55392,8.72655,0.06472,0.1451,4.43752,5.53377,0.27326,0
9882,1998,LUV,0.67496,0.9667,0.49154,12.14747,0.09191,0.18075,0.88295,3.14403,0.38227,0
5046,1998,GD,1.282,1.06039,0.51465,45.16667,0.07962,0.16404,1.08705,3.36861,0.15725,0
3130,1998,EP2,0.98171,2.51116,0.70938,2.66035,0.03612,0.12786,0.59744,2.14969,0.13133,0
2055,1998,B,2.62232,0.29594,0.22836,9.06977,0.06466,0.0838,0.27648,2.04663,0.50706,0
3735,1998,DHR,1.28779,1.02593,0.5064,14.71413,0.0668,0.13533,1.06256,5.42819,0.23891,0
8402,1998,PAYX,1.25189,3.29807,0.76734,1000.0,0.07426,0.31918,0.62753,16.74485,0.12114,0
12389,1998,HOG,1.80349,0.86444,0.46365,14.89603,0.11119,0.2073,1.12846,7.03474,0.35725,0
2783,1998,DUK8,1.47896,1.81016,0.63957,4.95706,0.04783,0.13537,0.37497,2.41492,0.1724,0
28930,1998,MAR,0.94405,1.42529,0.58768,12.27451,0.06257,0.15175,1.27836,2.74654,0.16517,0
3062,1998,CTAS,2.99149,0.61554,0.38101,15.18555,0.09869,0.15944,1.24417,8.08478,0.37857,0
11038,1998,UCL.1,1.00872,2.59946,0.71982,0.16525,0.01635,0.05904,0.62915,3.19946,0.17523,0
9203,1998,ROK,2.06556,1.20955,0.54742,11.98276,-0.05955,-0.13159,0.9417,2.1292,0.14038,0
28250,1998,AFM.3,1.79535,2.43959,0.66908,0.50077,-0.01322,-0.04822,0.17624,3.4499,0.05534,1
24870,1998,NXTL,0.89045,-159.50936,0.84132,-1.47939,-0.14275,27.06433,0.15957,-111.93303,-0.03306,1
9063,1998,AN,1.51727,1.56735,0.61049,24.32727,0.03587,0.09209,1.15743,1.25635,0.07939,0
3734,1998,DAN,1.08789,2.39589,0.69465,3.88019,0.05269,0.18172,1.24651,2.30436,0.11298,0
7116,1998,MAT,1.56225,1.34216,0.57294,5.64493,0.07796,0.18262,1.12194,3.69531,0.2242,0
10301,1998,TRW.1,0.89563,2.76731,0.72493,7.2193,0.06654,0.25399,1.65797,3.57928,0.12719,0
7875,1998,NWL,1.9369,1.2631,0.55802,6.31824,0.09154,0.20719,0.85955,3.51012,0.12529,0
61552,1998,LXK,1.684,1.56599,0.61029,34.8,0.16381,0.42034,2.03627,11.38531,0.31923,0
9613,1998,5946B,0.88922,2.04746,0.67186,4.26512,0.06518,0.19864,1.62071,6.87442,0.20708,0
12589,1998,EHC,3.35858,0.94151,0.47583,6.66404,0.00687,0.0136,0.59148,1.89929,0.19739,0
13421,1998,CDNS,1.76788,0.6392,0.38984,102.35415,0.02275,0.0373,0.86494,7.43987,0.44895,0
15084,1998,BR.2,0.92308,0.95693,0.48809,1.47297,0.01453,0.0285,0.27666,2.10479,0.26662,0
10974,1998,UST.1,2.57056,0.95032,0.48726,136.11818,0.49849,0.97221,1.52946,13.56049,1.04632,0
22325,1998,XLNX,3.93374,0.21713,0.1784,15.57351,0.09586,0.11667,0.61853,7.20741,1.27599,0
7866,1998,NYT,0.83144,1.2626,0.55803,10.93885,0.08049,0.18212,0.84751,4.11353,0.23348,0
1209,1998,APD,1.29717,1.80793,0.64387,4.5591,0.07301,0.205,0.65678,2.35865,0.20192,0
8290,1998,MEC2,1.10488,2.22198,0.67681,1.83208,-0.00278,-0.00912,0.42964,1.58299,0.02858,1
3897,1998,DTE,0.88506,2.26879,0.69408,2.9373,0.03714,0.12142,0.34919,1.68932,0.10346,1
28191,1998,RCL,0.32166,1.41584,0.56829,2.72181,0.05817,0.14493,0.46364,2.7332,0.16305,0
2884,1998,LUMN,0.74214,2.20497,0.68059,2.86365,0.04635,0.15016,0.31954,4.07891,0.14715,0
1243,1998,AL.1,2.4776,0.79716,0.43147,6.85047,0.0403,0.07445,0.78669,1.1413,0.17299,0
2226,1998,BGEN,5.13842,0.28681,0.22288,32.06712,0.14999,0.19301,0.60298,8.49724,0.81438,0
8272,1998,SRE,0.99676,2.5194,0.70189,2.93237,0.02927,0.10505,0.5242,2.0916,0.18027,0
31041,1998,TLWT,1.07048,3.37946,0.77158,-0.46976,-0.08315,-0.36419,0.14347,4.23632,0.00704,1
5125,1998,GPC,3.27875,0.7315,0.41718,30.28429,0.09882,0.17328,1.83704,2.92315,0.18927,0
14324,1998,ALTR.1,3.77833,0.24,0.19355,36.44184,0.14121,0.1751,0.59848,6.74083,1.27626,0
7922,1998,JWN,2.18649,1.36616,0.57737,7.08577,0.06636,0.15701,1.64827,4.49283,0.33402,0
4040,1998,RRD,1.27462,1.91174,0.65656,6.4142,0.07777,0.22645,1.32489,4.52385,0.29467,0
8068,1998,OXY,0.9536,3.81058,0.7795,0.80348,0.0238,0.11635,0.43247,1.88071,0.00673,1
